Date,Weekday (#),<1k,1-10k,10-20k,20-50k,50k-100k,100k+
01/10/2022,7,0,0,0,0,0,0
02/10/2022,1,0,0,0,0,0,0
03/10/2022,2,0,50003.8968,99997.3128,0,0,12660.3
04/10/2022,3,0,0,0,0,0,7753.125
05/10/2022,4,0,0,0,0,62055,0
06/10/2022,5,0,0,0,0,0,230000
07/10/2022,6,0,0,0,0,0,27250
08/10/2022,7,0,0,0,0,0,0
09/10/2022,1,0,0,0,0,0,0
10/10/2022,2,0,0,0,0,0,0
11/10/2022,3,0,0,0,0,0,0
12/10/2022,4,10562.5,0,0,0,0,12520.5
13/10/2022,5,0,2027.25,0,0,4022.8,24500
14/10/2022,6,0,0,0,0,0,30390.6
15/10/2022,7,0,0,0,0,0,0
16/10/2022,1,0,0,0,0,0,0
17/10/2022,2,0,0,0,0,0,26232.06375
18/10/2022,3,0,0,0,0,371000,501600
19/10/2022,4,0,0,0,0,55000,59400
20/10/2022,5,0,0,0,0,1556.25,2838.9
21/10/2022,6,0,0,0,0,9457.333333,23900
22/10/2022,7,0,0,0,0,0,0
23/10/2022,1,0,0,0,0,0,0
24/10/2022,2,0,0,0,0,56250,8711.25
25/10/2022,3,0,0,0,0,0,1710000.18
26/10/2022,4,0,0,0,0,2936.25,15590.625
27/10/2022,5,0,0,0,0,0,75000
28/10/2022,6,0,0,0,0,0,50000.0004
29/10/2022,7,0,0,0,0,0,0
30/10/2022,1,0,0,0,0,0,0
31/10/2022,2,16517.5,0,0,0,0,10950
01/11/2022,3,6211.875,0,0,0,10065,6375
02/11/2022,4,0,0,0,0,7300,0
03/11/2022,5,0,0,0,0,0,2850
04/11/2022,6,0,0,0,0,13600,47950
05/11/2022,7,0,0,0,0,0,0
06/11/2022,1,0,0,0,0,0,0
07/11/2022,2,0,0,0,0,0,41382.8
08/11/2022,3,0,0,0,0,0,0
09/11/2022,4,0,0,0,0,0,15375
10/11/2022,5,0,0,0,0,6500,18933.33333
11/11/2022,6,0,0,0,0,0,0
12/11/2022,7,0,0,0,0,0,0
13/11/2022,1,0,0,0,0,0,0
14/11/2022,2,0,7125,0,0,25000,75000.1
15/11/2022,3,0,0,0,0,3300,97333.32
16/11/2022,4,40000,0,0,0,3875,15937.5
17/11/2022,5,0,0,0,0,0,13125
18/11/2022,6,0,0,0,0,0,150000
19/11/2022,7,0,0,0,0,0,0
20/11/2022,1,0,0,0,0,0,0
21/11/2022,2,0,0,250,0,0,16700
22/11/2022,3,0,42750,0,0,0,102000
23/11/2022,4,0,0,0,2500,0,0
24/11/2022,5,0,0,0,0,3050,29653.125
25/11/2022,6,0,0,0,0,0,4569.125304
26/11/2022,7,0,0,0,0,0,0
27/11/2022,1,0,0,0,0,0,0
28/11/2022,2,0,0,0,0,0,44124
29/11/2022,3,0,0,0,10300,30625,24600
30/11/2022,4,0,0,0,0,0,10476
01/12/2022,5,0,0,0,2437.5,0,36966.66667
02/12/2022,6,0,0,0,0,0,0
03/12/2022,7,0,0,0,0,0,0
04/12/2022,1,0,0,0,0,0,0
05/12/2022,2,0,0,0,0,4437,4420.666667
06/12/2022,3,0,0,0,0,26124,34603.9675
07/12/2022,4,0,0,0,0,20775,25284.98
08/12/2022,5,0,0,0,0,5153.6,35694.3415
09/12/2022,6,0,0,0,0,15000,22000
10/12/2022,7,0,0,0,0,0,0
11/12/2022,1,0,0,0,0,0,0
12/12/2022,2,0,0,0,0,0,85537.5
13/12/2022,3,0,0,0,0,0,40674.9691
14/12/2022,4,0,0,0,0,0,39538.649
15/12/2022,5,0,0,0,12500,0,37595
16/12/2022,6,0,737.625,0,0,0,15997.5
17/12/2022,7,0,0,0,0,0,0
18/12/2022,1,0,0,0,0,0,0
19/12/2022,2,0,0,0,0,0,20240
20/12/2022,3,0,0,0,0,0,28884
21/12/2022,4,0,0,0,0,9500,24139.215
22/12/2022,5,0,0,0,0,56250,19986
23/12/2022,6,0,0,0,0,0,500
24/12/2022,7,0,0,0,0,0,0
25/12/2022,1,0,0,0,0,0,0
26/12/2022,2,0,0,0,0,0,0
27/12/2022,3,0,0,0,0,0,0
28/12/2022,4,0,0,0,0,0,23952.5
29/12/2022,5,0,0,0,0,57500,46937.5
30/12/2022,6,0,0,0,0,0,0
31/12/2022,7,0,0,0,0,0,0
01/01/2023,1,0,0,0,0,0,0
02/01/2023,2,0,0,0,0,0,0
03/01/2023,3,0,0,0,0,0,0
04/01/2023,4,0,66000,0,0,17820,6161.666667
05/01/2023,5,0,0,0,0,0,26088.9
06/01/2023,6,0,0,0,0,0,6569.166667
07/01/2023,7,0,0,0,0,0,0
08/01/2023,1,0,0,0,0,0,0
09/01/2023,2,0,0,0,0,0,0
10/01/2023,3,0,0,0,0,10000,9481.7
11/01/2023,4,0,0,0,0,4999.596,7062.5
12/01/2023,5,0,0,0,0,0,10062.5
13/01/2023,6,0,64408.5,128946.615,0,4704.663333,3587.1419
14/01/2023,7,0,0,0,0,0,0
15/01/2023,1,0,0,0,0,0,0
16/01/2023,2,0,0,0,0,0,130874.3981
17/01/2023,3,0,0,0,0,0,0
18/01/2023,4,0,0,0,0,4999.96,4999.91875
19/01/2023,5,0,0,0,0,0,7131.483
20/01/2023,6,0,0,0,0,7500,11750
21/01/2023,7,0,0,0,0,0,0
22/01/2023,1,0,0,0,0,0,0
23/01/2023,2,0,0,0,0,0,0
24/01/2023,3,0,0,0,0,6250,6250
25/01/2023,4,0,0,0,0,0,0
26/01/2023,5,0,9880,0,520,104391.6667,0
27/01/2023,6,0,0,0,0,3300,1342.75
28/01/2023,7,0,0,0,0,0,0
29/01/2023,1,0,0,0,0,0,0
30/01/2023,2,0,0,0,0,5882,0
31/01/2023,3,0,0,0,0,0,0
01/02/2023,4,0,0,0,0,0,4101.25
02/02/2023,5,0,0,0,0,0,7700
03/02/2023,6,0,0,0,0,0,30418.78125
04/02/2023,7,0,0,0,0,0,0
05/02/2023,1,0,0,0,0,0,0
06/02/2023,2,246.015,0,0,0,9860,0
07/02/2023,3,0,0,0,0,0,15000
08/02/2023,4,0,0,2465.25,0,6862.5,7084.166667
09/02/2023,5,0,6562.5,0,0,0,20125
10/02/2023,6,0,0,0,0,0,0
11/02/2023,7,0,0,0,0,0,0
12/02/2023,1,0,0,0,0,0,0
13/02/2023,2,0,13125,0,0,0,0
14/02/2023,3,2026.151786,3254.765625,2765.625,0,45,37000
15/02/2023,4,0,0,0,0,17237.5,242776.9705
16/02/2023,5,0,0,0,0,15000,38768.46491
17/02/2023,6,0,0,0,0,0,4500
18/02/2023,7,0,0,0,0,0,0
19/02/2023,1,0,0,0,0,0,0
20/02/2023,2,0,0,976,0,0,0
21/02/2023,3,0,15006.25,0,0,0,0
22/02/2023,4,0,0,0,0,10150,69750.7
23/02/2023,5,0,0,0,0,0,108325
24/02/2023,6,0,0,0,0,0,19887.5
25/02/2023,7,0,0,0,0,0,0
26/02/2023,1,0,0,0,0,0,0
27/02/2023,2,0,0,0,2312.5,0,82986.66667
28/02/2023,3,0,0,0,4750,0,39680.517
01/03/2023,4,0,0,20.85,0,0,44201.785
02/03/2023,5,0,0,0,0,0,34800.5
03/03/2023,6,0,0,0,0,4588.333333,43383.33333
04/03/2023,7,0,0,0,0,0,0
05/03/2023,1,0,0,0,0,0,0
06/03/2023,2,0,0,922,0,0,36835
07/03/2023,3,0,0,0,0,0,36407.95092
08/03/2023,4,0,0,0,0,0,65792.16833
09/03/2023,5,0,0,0,0,0,35575
10/03/2023,6,12000,0,12100,0,0,12676.77625
11/03/2023,7,0,0,0,0,0,0
12/03/2023,1,0,0,0,0,0,0
13/03/2023,2,0,12481.116,0,0,24962,76977.9
14/03/2023,3,0,0,0,6000,0,0
15/03/2023,4,0,0,0,0,0,34401.25
16/03/2023,5,0,0,0,0,4200,56500
17/03/2023,6,0,0,0,0,0,11500
18/03/2023,7,0,0,0,0,0,0
19/03/2023,1,0,0,0,0,0,0
20/03/2023,2,0,0,0,0,0,7672.166667
21/03/2023,3,0,0,0,0,6450,15562.5
22/03/2023,4,0,125,0,0,0,29000
23/03/2023,5,0,4500,1490.85,1995,11575,35257.275
24/03/2023,6,0,0,0,0,0,12135.6875
25/03/2023,7,0,0,0,0,0,0
26/03/2023,1,0,0,0,0,0,0
27/03/2023,2,0,0,0,0,0,60000
28/03/2023,3,0,0,0,0,15000,61498.92335
29/03/2023,4,0,0,0,23712.42,23682,72031.82142
30/03/2023,5,0,0,492,0,20750,54181.33034
31/03/2023,6,0,23364.17067,11532.4915,0,20795,53035.67
01/04/2023,7,0,0,0,0,0,0
02/04/2023,1,0,0,0,0,0,0
03/04/2023,2,0,0,0,0,0,28850.83333
04/04/2023,3,0,0,0,0,0,24772.1875
05/04/2023,4,0,0,0,0,980.80004,19752.0575
06/04/2023,5,0,0,0,0,0,8250
07/04/2023,6,0,0,0,0,0,0
08/04/2023,7,0,0,0,0,0,0
09/04/2023,1,0,0,0,0,0,0
10/04/2023,2,0,0,0,0,0,0
11/04/2023,3,0,0,0,0,0,21980.5375
12/04/2023,4,0,0,0,0,0,47521.2
13/04/2023,5,0,0,0,0,0,42600
14/04/2023,6,0,0,0,0,0,157628.625
15/04/2023,7,0,0,0,0,0,0
16/04/2023,1,0,0,0,0,0,0
17/04/2023,2,6562.5,0,0,0,0,74795.99262
18/04/2023,3,0,0,0,0,0,4286.541667
19/04/2023,4,0,0,3333.32,4166.68,10000,12394.25778
20/04/2023,5,0,5058.75,666.68,28233.32,19250,43510.635
21/04/2023,6,0,0,0,0,0,4625
22/04/2023,7,0,0,0,0,0,0
23/04/2023,1,0,0,0,0,0,0
24/04/2023,2,0,4300,0,0,0,81283.58785
25/04/2023,3,0,0,0,0,0,18633.33333
26/04/2023,4,0,1498.15,0,0,0,9827.5
27/04/2023,5,0,0,0,0,0,19254.33333
28/04/2023,6,0,0,0,0,0,10750
29/04/2023,7,0,0,0,0,0,0
30/04/2023,1,0,0,0,0,0,0
01/05/2023,2,0,0,0,0,0,0
02/05/2023,3,0,0,0,0,0,27562.5
03/05/2023,4,0,0,0,0,0,7200
04/05/2023,5,5600,0,0,0,0,1975
05/05/2023,6,0,0,0,0,0,0
06/05/2023,7,0,0,0,0,0,0
07/05/2023,1,0,0,0,0,0,0
08/05/2023,2,0,0,0,0,0,0
09/05/2023,3,0,0,0,0,0,0
10/05/2023,4,0,0,0,0,0,0
11/05/2023,5,0,0,0,0,0,0
12/05/2023,6,0,3018.4,0,0,0,23144.5
13/05/2023,7,0,0,0,0,0,0
14/05/2023,1,0,0,0,0,0,0
15/05/2023,2,0,0,0,0,0,15400
16/05/2023,3,0,0,0,0,0,37593.05
17/05/2023,4,0,0,0,0,0,62499.955
18/05/2023,5,0,0,0,0,0,109800
19/05/2023,6,0,0,0,0,0,39156.66667
20/05/2023,7,0,0,0,0,0,0
21/05/2023,1,0,0,0,0,0,0
22/05/2023,2,0,16600,0,0,0,19498.5
23/05/2023,3,0,0,0,0,0,6942.666667
24/05/2023,4,0,0,0,0,0,109117.1767
25/05/2023,5,0,0,0,0,0,105575
26/05/2023,6,0,0,1508.125,0,0,0
27/05/2023,7,0,0,0,0,0,0
28/05/2023,1,0,0,0,0,0,0
29/05/2023,2,0,0,0,0,0,0
30/05/2023,3,0,0,0,0,37083.34,40989.13667
31/05/2023,4,4665,0,0,0,0,20286.87692
01/06/2023,5,0,0,0,0,0,0
02/06/2023,6,0,0,0,0,0,80656.35714
03/06/2023,7,0,0,0,0,0,0
04/06/2023,1,0,0,0,0,0,0
05/06/2023,2,0,0,0,0,0,4700
06/06/2023,3,0,0,0,10000,6625,17587.375
07/06/2023,4,0,0,0,0,0,23863.2125
08/06/2023,5,0,0,0,0,0,11125
09/06/2023,6,0,0,0,0,6125,6126.25
10/06/2023,7,0,0,0,0,0,0
11/06/2023,1,0,0,0,0,0,0
12/06/2023,2,0,0,0,0,0,9500
13/06/2023,3,0,0,0,0,0,6375
14/06/2023,4,0,0,0,0,0,47500
15/06/2023,5,0,0,993.5625,0,0,9000
16/06/2023,6,0,0,0,0,8905,6208.125
17/06/2023,7,0,0,0,0,0,0
18/06/2023,1,0,0,0,0,0,0
19/06/2023,2,0,0,0,0,0,11573.1
20/06/2023,3,0,0,0,0,0,0
21/06/2023,4,0,0,0,0,0,11362.5
22/06/2023,5,0,0,0,0,7466.5,8996.875
23/06/2023,6,3087,0,748.8,0,0,0
24/06/2023,7,0,0,0,0,0,0
25/06/2023,1,0,0,0,0,0,0
26/06/2023,2,0,0,0,0,7672,7600
27/06/2023,3,0,0,0,0,2850,25124.9375
28/06/2023,4,0,0,0,0,0,73866.65
29/06/2023,5,0,0,0,0,0,27889.5
30/06/2023,6,0,0,0,0,0,0
01/07/2023,7,0,0,0,0,0,0
02/07/2023,1,0,0,0,0,0,0
03/07/2023,2,0,0,0,0,0,16500
04/07/2023,3,0,22500,0,0,0,22500
05/07/2023,4,0,0,0,0,0,0
06/07/2023,5,0,0,0,0,0,0
07/07/2023,6,0,0,0,0,0,0
08/07/2023,7,0,0,0,0,0,0
09/07/2023,1,0,0,0,0,0,0
10/07/2023,2,0,0,0,0,0,4688.343
11/07/2023,3,0,0,0,0,10846.68,13052.78667
12/07/2023,4,0,0,0,0,0,10000
13/07/2023,5,0,0,0,0,0,5833.338
14/07/2023,6,0,0,0,0,0,0
15/07/2023,7,0,0,0,0,0,0
16/07/2023,1,0,0,0,0,0,0
17/07/2023,2,0,0,0,0,0,2450
18/07/2023,3,0,0,0,0,0,0
19/07/2023,4,0,0,0,0,999.02,101425
20/07/2023,5,0,0,0,0,0,46981.53
21/07/2023,6,0,0,0,0,0,0
22/07/2023,7,0,0,0,0,0,0
23/07/2023,1,0,0,0,0,0,0
24/07/2023,2,4400,0,0,0,0,160016.5067
25/07/2023,3,0,0,0,0,0,0
26/07/2023,4,0,0,0,0,0,22441.5
27/07/2023,5,0,0,0,0,0,30733.425
28/07/2023,6,0,0,0,0,0,61880
29/07/2023,7,0,0,0,0,0,0
30/07/2023,1,0,0,0,0,0,0
31/07/2023,2,0,0,0,0,0,31372.5
01/08/2023,3,0,0,0,0,0,56829.83333
02/08/2023,4,0,0,744.98,0,0,0
03/08/2023,5,0,5760,0,0,0,26250
04/08/2023,6,0,0,0,0,4750,4625
05/08/2023,7,0,0,0,0,0,0
06/08/2023,1,0,0,0,0,0,0
07/08/2023,2,0,0,0,0,0,0
08/08/2023,3,0,0,0,0,0,0
09/08/2023,4,0,0,0,0,0,0
10/08/2023,5,0,0,0,0,0,60354.105
11/08/2023,6,0,0,0,0,0,47546.71875
12/08/2023,7,0,0,0,0,0,0
13/08/2023,1,0,0,0,0,0,0
14/08/2023,2,0,3800,0,0,0,19050
15/08/2023,3,0,0,0,0,0,58552.832
16/08/2023,4,0,0,0,0,0,0
17/08/2023,5,0,0,0,0,0,0
18/08/2023,6,0,0,0,0,0,24999.975
19/08/2023,7,0,0,0,0,0,0
20/08/2023,1,0,0,0,0,0,0
21/08/2023,2,0,1750,0,0,0,0
22/08/2023,3,0,0,0,0,0,37062.5
23/08/2023,4,0,0,0,0,0,36258.705
24/08/2023,5,1841.95,0,0,0,3100,7209.375
25/08/2023,6,0,0,0,0,0,15187.5
26/08/2023,7,0,0,0,0,0,0
27/08/2023,1,0,0,0,0,0,0
28/08/2023,2,0,0,0,0,0,0
29/08/2023,3,0,0,0,0,13500,22375
30/08/2023,4,0,0,0,0,0,0
31/08/2023,5,0,0,0,0,43.5,23000
01/09/2023,6,0,0,0,0,0,23000
02/09/2023,7,0,0,0,0,0,0
03/09/2023,1,0,0,0,0,0,0
04/09/2023,2,0,0,0,0,0,0
05/09/2023,3,0,0,15994.175,0,0,34581.4125
06/09/2023,4,0,1500,8369,0,15612.5,25622.5
07/09/2023,5,0,0,0,0,0,0
08/09/2023,6,0,0,0,0,0,0
09/09/2023,7,0,0,0,0,0,0
10/09/2023,1,0,0,0,0,0,0
11/09/2023,2,0,0,0,0,0,0
12/09/2023,3,0,0,0,0,0,0
13/09/2023,4,0,0,0,0,0,0
14/09/2023,5,0,0,0,0,0,0
15/09/2023,6,0,0,0,0,0,0
16/09/2023,7,0,0,0,0,0,0
17/09/2023,1,0,0,0,0,0,0
18/09/2023,2,0,0,0,0,0,0
19/09/2023,3,0,0,0,0,0,0
20/09/2023,4,0,0,0,0,0,0
21/09/2023,5,0,0,0,0,0,0
22/09/2023,6,0,0,0,0,0,1600
23/09/2023,7,0,0,0,0,0,0
24/09/2023,1,0,0,0,0,0,0
25/09/2023,2,0,0,0,0,15690,17316.66667
26/09/2023,3,0,0,750.3,0,0,7415
27/09/2023,4,0,0,0,0,0,3937.5
28/09/2023,5,0,0,0,0,25000,15750
29/09/2023,6,0,0,0,0,7875,3250
30/09/2023,7,0,0,0,0,0,0
